seed_index,seed,n,t,trunc_bytes,hash_bits,pwd_length,successful_cracks,failed_cracks,total_time,success_rate,avg_time_per_crack,same,different,construction_time,notes,timestamp
0,1,100,100,4,32,5,0,100,0.6224958896636963,0.0,0.006224958896636963,0,0,0.013009786605834961,OK,2025-10-19 22:04:38
1,123,100,100,4,32,5,0,100,0.617607593536377,0.0,0.0061760759353637696,0,0,0.015624523162841797,OK,2025-10-19 22:04:38
2,999,100,100,4,32,5,0,100,0.6124012470245361,0.0,0.006124012470245362,0,0,0.01637744903564453,OK,2025-10-19 22:04:39
0,1,100,100,4,32,7,0,100,0.6659009456634521,0.0,0.0066590094566345214,0,0,0.019223451614379883,OK,2025-10-19 22:04:40
1,123,100,100,4,32,7,0,100,0.7238481044769287,0.0,0.007238481044769287,0,0,0.01747584342956543,OK,2025-10-19 22:04:40
2,999,100,100,4,32,7,0,100,0.6996934413909912,0.0,0.006996934413909912,0,0,0.018658876419067383,OK,2025-10-19 22:04:41
0,1,100,100,4,32,10,0,100,0.82546067237854,0.0,0.0082546067237854,0,0,0.01827073097229004,OK,2025-10-19 22:04:42
1,123,100,100,4,32,10,0,100,0.8372883796691895,0.0,0.008372883796691894,0,0,0.02196216583251953,OK,2025-10-19 22:04:43
2,999,100,100,4,32,10,0,100,0.8358113765716553,0.0,0.008358113765716553,0,0,0.02010488510131836,OK,2025-10-19 22:04:43
0,1,100,100,5,40,5,0,100,0.6479477882385254,0.0,0.006479477882385254,0,0,0.014520645141601562,OK,2025-10-19 22:04:44
1,123,100,100,5,40,5,0,100,0.6399397850036621,0.0,0.006399397850036621,0,0,0.015712976455688477,OK,2025-10-19 22:04:45
2,999,100,100,5,40,5,0,100,0.648125410079956,0.0,0.00648125410079956,0,0,0.01715087890625,OK,2025-10-19 22:04:46
0,1,100,100,5,40,7,0,100,0.7125871181488037,0.0,0.007125871181488037,0,0,0.01735997200012207,OK,2025-10-19 22:04:46
